year,mun_code,mun_name,cases,date
2015,230440,Fortaleza,47.0,2015-10-15
2015,310620,Belo Horizonte,15.0,2015-10-15
2015,355030,São Paulo,44.0,2015-10-22
2015,230440,Fortaleza,34.0,2015-10-22
2015,310620,Belo Horizonte,27.0,2015-10-22
2015,230440,Fortaleza,20.0,2015-10-29
2015,355030,São Paulo,38.0,2015-10-29
2015,310620,Belo Horizonte,20.0,2015-10-29
2015,310620,Belo Horizonte,22.0,2015-11-05
2015,355030,São Paulo,25.0,2015-11-05
2015,230440,Fortaleza,27.0,2015-11-05
2015,355030,São Paulo,55.0,2015-11-12
2015,230440,Fortaleza,27.0,2015-11-12
2015,310620,Belo Horizonte,50.0,2015-11-12
2015,230440,Fortaleza,23.0,2015-11-19
2015,355030,São Paulo,63.0,2015-11-19
2015,310620,Belo Horizonte,79.0,2015-11-19
2015,230440,Fortaleza,23.0,2015-11-26
2015,355030,São Paulo,96.0,2015-11-26
2015,310620,Belo Horizonte,118.0,2015-11-26
2015,310620,Belo Horizonte,144.0,2015-12-03
2015,230440,Fortaleza,50.0,2015-12-03
2015,355030,São Paulo,123.0,2015-12-03
2015,355030,São Paulo,144.0,2015-12-10
2015,230440,Fortaleza,41.0,2015-12-10
2015,310620,Belo Horizonte,271.0,2015-12-10
2015,355030,São Paulo,152.0,2015-12-17
2015,230440,Fortaleza,46.0,2015-12-17
2015,310620,Belo Horizonte,453.0,2015-12-17
2015,310620,Belo Horizonte,524.0,2015-12-24
2015,230440,Fortaleza,41.0,2015-12-24
2015,355030,São Paulo,165.0,2015-12-24
2015,355030,São Paulo,130.0,2015-12-31
2015,310620,Belo Horizonte,436.0,2015-12-31
2015,230440,Fortaleza,20.0,2015-12-31
2015,310620,Belo Horizonte,7.0,2016-01-07
2015,355030,São Paulo,91.0,2016-01-07
2015,230440,Fortaleza,26.0,2016-01-07
2016,230440,Fortaleza,72.0,2016-01-08
2016,310620,Belo Horizonte,1999.0,2016-01-08
2016,355030,São Paulo,333.0,2016-01-08
2016,355030,São Paulo,348.0,2016-01-15
2016,310620,Belo Horizonte,2579.0,2016-01-15
2016,230440,Fortaleza,91.0,2016-01-15
2016,355030,São Paulo,418.0,2016-01-22
2016,230440,Fortaleza,107.0,2016-01-22
2016,310620,Belo Horizonte,3102.0,2016-01-22
2016,230440,Fortaleza,186.0,2016-01-29
2016,310620,Belo Horizonte,4318.0,2016-01-29
2016,355030,São Paulo,406.0,2016-01-29
2016,355030,São Paulo,610.0,2016-02-05
2016,310620,Belo Horizonte,6138.0,2016-02-05
2016,230440,Fortaleza,193.0,2016-02-05
2016,310620,Belo Horizonte,7301.0,2016-02-12
2016,230440,Fortaleza,182.0,2016-02-12
2016,355030,São Paulo,771.0,2016-02-12
2016,355030,São Paulo,945.0,2016-02-19
2016,310620,Belo Horizonte,11115.0,2016-02-19
2016,230440,Fortaleza,210.0,2016-02-19
2016,230440,Fortaleza,267.0,2016-02-26
2016,355030,São Paulo,1052.0,2016-02-26
2016,310620,Belo Horizonte,13884.0,2016-02-26
2016,230440,Fortaleza,231.0,2016-03-04
2016,310620,Belo Horizonte,12144.0,2016-03-04
2016,355030,São Paulo,1259.0,2016-03-04
2016,355030,São Paulo,1096.0,2016-03-11
2016,230440,Fortaleza,298.0,2016-03-11
2016,310620,Belo Horizonte,12801.0,2016-03-11
2016,310620,Belo Horizonte,12987.0,2016-03-18
2016,355030,São Paulo,1260.0,2016-03-18
2016,230440,Fortaleza,317.0,2016-03-18
2016,310620,Belo Horizonte,9719.0,2016-03-25
2016,230440,Fortaleza,323.0,2016-03-25
2016,355030,São Paulo,1207.0,2016-03-25
2016,355030,São Paulo,1106.0,2016-04-01
2016,230440,Fortaleza,393.0,2016-04-01
2016,310620,Belo Horizonte,11237.0,2016-04-01
2016,310620,Belo Horizonte,12170.0,2016-04-08
2016,230440,Fortaleza,431.0,2016-04-08
2016,355030,São Paulo,1208.0,2016-04-08
2016,230440,Fortaleza,520.0,2016-04-15
2016,310620,Belo Horizonte,9682.0,2016-04-15
2016,355030,São Paulo,1101.0,2016-04-15
2016,230440,Fortaleza,1156.0,2016-04-22
2016,355030,São Paulo,1223.0,2016-04-22
2016,310620,Belo Horizonte,7834.0,2016-04-22
2016,230440,Fortaleza,1440.0,2016-04-29
2016,310620,Belo Horizonte,7177.0,2016-04-29
2016,355030,São Paulo,1473.0,2016-04-29
2016,310620,Belo Horizonte,5513.0,2016-05-06
2016,230440,Fortaleza,1557.0,2016-05-06
2016,355030,São Paulo,1091.0,2016-05-06
2016,230440,Fortaleza,1319.0,2016-05-13
2016,310620,Belo Horizonte,3182.0,2016-05-13
2016,355030,São Paulo,550.0,2016-05-13
2016,355030,São Paulo,394.0,2016-05-20
2016,310620,Belo Horizonte,2040.0,2016-05-20
2016,230440,Fortaleza,1591.0,2016-05-20
2016,355030,São Paulo,262.0,2016-05-27
2016,230440,Fortaleza,1544.0,2016-05-27
2016,310620,Belo Horizonte,1159.0,2016-05-27
2016,355030,São Paulo,164.0,2016-06-03
