mun_code,mun_name,date,cases,cases_lag1,cases_lag2,cases_lag3,cases_lag4,cases_lag5,cases_lag6,cases_lag7,cases_lag8,cases_lag9
355030,São Paulo,2015-02-26,3336.0,2101.0,1253.0,1028.0,552.0,387.0,191.0,175.0,15.0,36.0
310620,Belo Horizonte,2015-03-05,189.0,80.0,90.0,66.0,52.0,49.0,46.0,33.0,24.0,12.0
230440,Fortaleza,2015-03-05,307.0,196.0,160.0,142.0,156.0,107.0,79.0,74.0,58.0,5.0
355030,São Paulo,2015-03-05,5684.0,3336.0,2101.0,1253.0,1028.0,552.0,387.0,191.0,175.0,15.0
310620,Belo Horizonte,2015-03-12,283.0,189.0,80.0,90.0,66.0,52.0,49.0,46.0,33.0,24.0
355030,São Paulo,2015-03-12,7695.0,5684.0,3336.0,2101.0,1253.0,1028.0,552.0,387.0,191.0,175.0
230440,Fortaleza,2015-03-12,389.0,307.0,196.0,160.0,142.0,156.0,107.0,79.0,74.0,58.0
355030,São Paulo,2015-03-19,9649.0,7695.0,5684.0,3336.0,2101.0,1253.0,1028.0,552.0,387.0,191.0
230440,Fortaleza,2015-03-19,406.0,389.0,307.0,196.0,160.0,142.0,156.0,107.0,79.0,74.0
310620,Belo Horizonte,2015-03-19,396.0,283.0,189.0,80.0,90.0,66.0,52.0,49.0,46.0,33.0
310620,Belo Horizonte,2015-03-26,496.0,396.0,283.0,189.0,80.0,90.0,66.0,52.0,49.0,46.0
230440,Fortaleza,2015-03-26,462.0,406.0,389.0,307.0,196.0,160.0,142.0,156.0,107.0,79.0
355030,São Paulo,2015-03-26,3636.0,9649.0,7695.0,5684.0,3336.0,2101.0,1253.0,1028.0,552.0,387.0
310620,Belo Horizonte,2015-04-02,676.0,496.0,396.0,283.0,189.0,80.0,90.0,66.0,52.0,49.0
355030,São Paulo,2015-04-02,3153.0,3636.0,9649.0,7695.0,5684.0,3336.0,2101.0,1253.0,1028.0,552.0
230440,Fortaleza,2015-04-02,408.0,462.0,406.0,389.0,307.0,196.0,160.0,142.0,156.0,107.0
310620,Belo Horizonte,2015-04-09,1153.0,676.0,496.0,396.0,283.0,189.0,80.0,90.0,66.0,52.0
355030,São Paulo,2015-04-09,3792.0,3153.0,3636.0,9649.0,7695.0,5684.0,3336.0,2101.0,1253.0,1028.0
230440,Fortaleza,2015-04-09,617.0,408.0,462.0,406.0,389.0,307.0,196.0,160.0,142.0,156.0
310620,Belo Horizonte,2015-04-16,1232.0,1153.0,676.0,496.0,396.0,283.0,189.0,80.0,90.0,66.0
355030,São Paulo,2015-04-16,3551.0,3792.0,3153.0,3636.0,9649.0,7695.0,5684.0,3336.0,2101.0,1253.0
230440,Fortaleza,2015-04-16,901.0,617.0,408.0,462.0,406.0,389.0,307.0,196.0,160.0,142.0
355030,São Paulo,2015-04-23,3482.0,3551.0,3792.0,3153.0,3636.0,9649.0,7695.0,5684.0,3336.0,2101.0
230440,Fortaleza,2015-04-23,1505.0,901.0,617.0,408.0,462.0,406.0,389.0,307.0,196.0,160.0
310620,Belo Horizonte,2015-04-23,1433.0,1232.0,1153.0,676.0,496.0,396.0,283.0,189.0,80.0,90.0
355030,São Paulo,2015-04-30,3065.0,3482.0,3551.0,3792.0,3153.0,3636.0,9649.0,7695.0,5684.0,3336.0
230440,Fortaleza,2015-04-30,1691.0,1505.0,901.0,617.0,408.0,462.0,406.0,389.0,307.0,196.0
310620,Belo Horizonte,2015-04-30,2193.0,1433.0,1232.0,1153.0,676.0,496.0,396.0,283.0,189.0,80.0
230440,Fortaleza,2015-05-07,2243.0,1691.0,1505.0,901.0,617.0,408.0,462.0,406.0,389.0,307.0
355030,São Paulo,2015-05-07,2236.0,3065.0,3482.0,3551.0,3792.0,3153.0,3636.0,9649.0,7695.0,5684.0
310620,Belo Horizonte,2015-05-07,2183.0,2193.0,1433.0,1232.0,1153.0,676.0,496.0,396.0,283.0,189.0
310620,Belo Horizonte,2015-05-14,1840.0,2183.0,2193.0,1433.0,1232.0,1153.0,676.0,496.0,396.0,283.0
355030,São Paulo,2015-05-14,1325.0,2236.0,3065.0,3482.0,3551.0,3792.0,3153.0,3636.0,9649.0,7695.0
230440,Fortaleza,2015-05-14,2774.0,2243.0,1691.0,1505.0,901.0,617.0,408.0,462.0,406.0,389.0
355030,São Paulo,2015-05-21,806.0,1325.0,2236.0,3065.0,3482.0,3551.0,3792.0,3153.0,3636.0,9649.0
230440,Fortaleza,2015-05-21,2678.0,2774.0,2243.0,1691.0,1505.0,901.0,617.0,408.0,462.0,406.0
310620,Belo Horizonte,2015-05-21,1361.0,1840.0,2183.0,2193.0,1433.0,1232.0,1153.0,676.0,496.0,396.0
355030,São Paulo,2015-05-28,541.0,806.0,1325.0,2236.0,3065.0,3482.0,3551.0,3792.0,3153.0,3636.0
230440,Fortaleza,2015-05-28,2140.0,2678.0,2774.0,2243.0,1691.0,1505.0,901.0,617.0,408.0,462.0
310620,Belo Horizonte,2015-05-28,761.0,1361.0,1840.0,2183.0,2193.0,1433.0,1232.0,1153.0,676.0,496.0
310620,Belo Horizonte,2015-06-04,645.0,761.0,1361.0,1840.0,2183.0,2193.0,1433.0,1232.0,1153.0,676.0
